"Government launches new healthcare scheme",REAL
"Scientists discover new species in ocean",REAL
"India wins cricket world cup match",REAL
"New metro railway inaugurated in Hyderabad",REAL
"Researchers develop advanced AI technology",REAL
"NASA plans new moon mission",REAL
"Students receive free laptops from government",REAL
"New vaccine approved by health department",REAL
"Technology company launches new smartphone",REAL
"Heavy rainfall expected in coastal areas",REAL
"Aliens secretly living under Earth",FAKE
"Drinking petrol cures all diseases",FAKE
"Dinosaurs found alive in Africa",FAKE
"Moon will explode tomorrow night",FAKE
"Humans can fly naturally after eating magic fruit",FAKE
"Secret invisible city found in sky",FAKE
"People can breathe underwater without equipment",FAKE
"Time travel machine found in village",FAKE
"Ghost teaches students in college",FAKE
"Sun disappeared for five hours yesterday",FAKE
